Название товара|Артикул|Параметр|Значение параметра
Обувь защитная Triton, класс 01, низкая, р-р 43| 0535729143|ШтрихКод|8605021313898
Обувь защитная Triton, класс 01, низкая, р-р 43| 0535729143|Артикул|0535729143
Обувь защитная Triton, класс 01, низкая, р-р 43| 0535729143|Контрольный знак|ОБУВЬ
Обувь защитная Triton, класс 01, низкая, р-р 43| 0535729143|Размер|43,0
Обувь защитная Triton, класс 01, низкая, р-р 43| 0535729143|Класс защиты|О1
Обувь защитная Triton, класс 01, низкая, р-р 43| 0535729143|Антистатика|Да
Обувь защитная Triton, класс 01, низкая, р-р 43| 0535729143|Зона противоскольжения|Да
Обувь защитная Triton, класс 01, низкая, р-р 44| 0535729144|ШтрихКод|8605021313904
Обувь защитная Triton, класс 01, низкая, р-р 44| 0535729144|Артикул|0535729144
Обувь защитная Triton, класс 01, низкая, р-р 44| 0535729144|Контрольный знак|ОБУВЬ
Обувь защитная Triton, класс 01, низкая, р-р 44| 0535729144|Размер|44,0
Обувь защитная Triton, класс 01, низкая, р-р 44| 0535729144|Класс защиты|О1
Обувь защитная Triton, класс 01, низкая, р-р 44| 0535729144|Антистатика|Да
Обувь защитная Triton, класс 01, низкая, р-р 44| 0535729144|Зона противоскольжения|Да
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 43| 0535929243|ШтрихКод|8605021382931
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 43| 0535929243|Артикул|0535929243
Обувь рабочая MARS PLITKA 4, низкая, р-р 43| 0535929843|ШтрихКод|8605021383457
Обувь рабочая MARS PLITKA 4, низкая, р-р 43| 0535929843|Артикул|0535929843
Обувь рабочая AZZURRO 7, низкая, р-р 37| 0535930037|ШтрихКод|8605021384829
Обувь рабочая AZZURRO 7, низкая, р-р 37| 0535930037|Артикул|0535930037
Обувь рабочая AZZURRO 7, низкая, р-р 38| 0535930038|ШтрихКод|8605021384836
Обувь рабочая AZZURRO 7, низкая, р-р 38| 0535930038|Артикул|0535930038
Обувь рабочая AZZURRO 7, низкая, р-р 39| 0535930039|ШтрихКод|8605021384843
Обувь рабочая AZZURRO 7, низкая, р-р 39| 0535930039|Артикул|0535930039
Обувь рабочая AZZURRO 7, низкая, р-р 40| 0535930040|ШтрихКод|8605021384850
Обувь рабочая AZZURRO 7, низкая, р-р 40| 0535930040|Артикул|0535930040
Обувь рабочая AZZURRO 7, низкая, р-р 41| 0535930041|ШтрихКод|8605021384867
Обувь рабочая AZZURRO 7, низкая, р-р 41| 0535930041|Артикул|0535930041
Обувь рабочая AZZURRO 7, низкая, р-р 42| 0535930042|ШтрихКод|8605021384874
Обувь рабочая AZZURRO 7, низкая, р-р 42| 0535930042|Артикул|0535930042
Обувь рабочая AZZURRO 7, низкая, р-р 43| 0535930043|ШтрихКод|8605021384881
Обувь рабочая AZZURRO 7, низкая, р-р 43| 0535930043|Артикул|0535930043
Обувь рабочая AZZURRO 7, низкая, р-р 44| 0535930044|ШтрихКод|8605021384898
Обувь рабочая AZZURRO 7, низкая, р-р 44| 0535930044|Артикул|0535930044
Обувь рабочая AZZURRO 7, низкая, р-р 45| 0535930045|ШтрихКод|8605021384904
Обувь рабочая AZZURRO 7, низкая, р-р 45| 0535930045|Артикул|0535930045
Обувь рабочая AZZURRO 7, низкая, р-р 46| 0535930046|ШтрихКод|8605021384911
Обувь рабочая AZZURRO 7, низкая, р-р 46| 0535930046|Артикул|0535930046
Обувь рабочая AZZURRO 7, низкая, р-р 47| 0535930047|ШтрихКод|8605021384928
Обувь рабочая AZZURRO 7, низкая, р-р 47| 0535930047|Артикул|0535930047
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 37| 0535929437|ШтрихКод|8605021383136
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 37| 0535929437|Артикул|0535929437
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 38| 0535929438|ШтрихКод|8605021383143
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 38| 0535929438|Артикул|0535929438
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 39| 0535929439|ШтрихКод|8605021383150
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 39| 0535929439|Артикул|0535929439
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 40| 0535929440|ШтрихКод|8605021383167
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 40| 0535929440|Артикул|0535929440
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 41| 0535929441|ШтрихКод|8605021383174
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 41| 0535929441|Артикул|0535929441
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 42| 0535929442|ШтрихКод|8605021383181
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 42| 0535929442|Артикул|0535929442
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 43| 0535929443|ШтрихКод|8605021383198
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 43| 0535929443|Артикул|0535929443
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 44| 0535929444|ШтрихКод|8605021383204
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 44| 0535929444|Артикул|0535929444
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 45| 0535929445|ШтрихКод|8605021383211
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 45| 0535929445|Артикул|0535929445
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 46| 0535929446|ШтрихКод|8605021383228
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 46| 0535929446|Артикул|0535929446
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 47| 0535929447|ШтрихКод|8605021383235
Обувь рабочая GRIGIO PLITKA 5, низкая, р-р 47| 0535929447|Артикул|0535929447
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 37| 0535929237|ШтрихКод|8605021382870
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 37| 0535929237|Артикул|0535929237
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 38| 0535929238|ШтрихКод|8605021382887
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 38| 0535929238|Артикул|0535929238
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 39| 0535929239|ШтрихКод|8605021382894
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 39| 0535929239|Артикул|0535929239
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 40| 0535929240|ШтрихКод|8605021382900
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 40| 0535929240|Артикул|0535929240
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 41| 0535929241|ШтрихКод|8605021382917
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 41| 0535929241|Артикул|0535929241
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 42| 0535929242|ШтрихКод|8605021382924
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 42| 0535929242|Артикул|0535929242
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 44| 0535929244|ШтрихКод|8605021382948
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 44| 0535929244|Артикул|0535929244
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 45| 0535929245|ШтрихКод|8605021382955
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 45| 0535929245|Артикул|0535929245
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 46| 0535929246|ШтрихКод|8605021382962
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 46| 0535929246|Артикул|0535929246
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 47| 0535929247|ШтрихКод|8605021382979
Обувь рабочая HECTOR PLITKA 4, низкая, р-р 47| 0535929247|Артикул|0535929247
Обувь рабочая MARS PLITKA 4, низкая, р-р 37| 0535929837|ШтрихКод|8605021383396
Обувь рабочая MARS PLITKA 4, низкая, р-р 37| 0535929837|Артикул|0535929837
Обувь рабочая MARS PLITKA 4, низкая, р-р 38| 0535929838|ШтрихКод|8605021383402
Обувь рабочая MARS PLITKA 4, низкая, р-р 38| 0535929838|Артикул|0535929838
Обувь рабочая MARS PLITKA 4, низкая, р-р 39| 0535929839|ШтрихКод|8605021383419
Обувь рабочая MARS PLITKA 4, низкая, р-р 39| 0535929839|Артикул|0535929839
Обувь рабочая MARS PLITKA 4, низкая, р-р 40| 0535929840|ШтрихКод|8605021383426
Обувь рабочая MARS PLITKA 4, низкая, р-р 40| 0535929840|Артикул|0535929840
Обувь рабочая MARS PLITKA 4, низкая, р-р 41| 0535929841|ШтрихКод|8605021383433
Обувь рабочая MARS PLITKA 4, низкая, р-р 41| 0535929841|Артикул|0535929841
Обувь рабочая MARS PLITKA 4, низкая, р-р 42| 0535929842|ШтрихКод|8605021383440
Обувь рабочая MARS PLITKA 4, низкая, р-р 42| 0535929842|Артикул|0535929842
Обувь рабочая MARS PLITKA 4, низкая, р-р 44| 0535929844|ШтрихКод|8605021383464
Обувь рабочая MARS PLITKA 4, низкая, р-р 44| 0535929844|Артикул|0535929844
Обувь рабочая MARS PLITKA 4, низкая, р-р 45| 0535929845|ШтрихКод|8605021383471
Обувь рабочая MARS PLITKA 4, низкая, р-р 45| 0535929845|Артикул|0535929845
Обувь рабочая MARS PLITKA 4, низкая, р-р 46| 0535929846|ШтрихКод|8605021383488
Обувь рабочая MARS PLITKA 4, низкая, р-р 46| 0535929846|Артикул|0535929846
Обувь рабочая MARS PLITKA 4, низкая, р-р 47| 0535929847|ШтрихКод|8605021383495
Обувь рабочая MARS PLITKA 4, низкая, р-р 47| 0535929847|Артикул|0535929847
Обувь защитная WUMAX 3216, низкая, р-р 36| 2357321636|ШтрихКод|4811582000137
Обувь защитная WUMAX 3216, низкая, р-р 36| 2357321636|Артикул|2357321636
Обувь защитная WUMAX 3216, низкая, р-р 37| 2357321637|ШтрихКод|4811582000144
Обувь защитная WUMAX 3216, низкая, р-р 37| 2357321637|Артикул|2357321637
Обувь защитная WUMAX 3216, низкая, р-р 38| 2357321638|ШтрихКод|4811582000151
Обувь защитная WUMAX 3216, низкая, р-р 38| 2357321638|Артикул|2357321638
Обувь защитная WUMAX 3216, низкая, р-р 39| 2357321639|ШтрихКод|4811582000168
Обувь защитная WUMAX 3216, низкая, р-р 39| 2357321639|Артикул|2357321639
Обувь защитная WUMAX 3216, низкая, р-р 40| 2357321640|ШтрихКод|4811582000175
Обувь защитная WUMAX 3216, низкая, р-р 40| 2357321640|Артикул|2357321640
Обувь защитная WUMAX 3216, низкая, р-р 41| 2357321641|ШтрихКод|4811582000182
Обувь защитная WUMAX 3216, низкая, р-р 41| 2357321641|Артикул|2357321641
Обувь защитная WUMAX 3216, низкая, р-р 43| 2357321643|ШтрихКод|4811582000205
Обувь защитная WUMAX 3216, низкая, р-р 43| 2357321643|Артикул|2357321643
Обувь защитная WUMAX 3216, низкая, р-р 44| 2357321644|ШтрихКод|4811582000212
Обувь защитная WUMAX 3216, низкая, р-р 44| 2357321644|Артикул|2357321644
Обувь защитная WUMAX 3216, низкая, р-р 45| 2357321645|ШтрихКод|4811582000229
Обувь защитная WUMAX 3216, низкая, р-р 45| 2357321645|Артикул|2357321645
Обувь защитная WUMAX 3216, низкая, р-р 47| 2357321647|ШтрихКод|4811582000243
Обувь защитная WUMAX 3216, низкая, р-р 47| 2357321647|Артикул|2357321647
Обувь защитная WUMAX 3216, низкая, р-р 42| 2357321642|ШтрихКод|4811582000199
Обувь защитная WUMAX 3216, низкая, р-р 42| 2357321642|Артикул|2357321642
Сапоги рабочие WUMAX 3218, р-р 39| 2357321839|ШтрихКод|4811582000250
Сапоги рабочие WUMAX 3218, р-р 39| 2357321839|Артикул|2357321839
Сапоги рабочие WUMAX 3218, р-р 40| 2357321840|ШтрихКод|4811582000267
Сапоги рабочие WUMAX 3218, р-р 40| 2357321840|Артикул|2357321840
Сапоги рабочие WUMAX 3218, р-р 41| 2357321841|Артикул|2357321841
Сапоги рабочие WUMAX 3218, р-р 42| 2357321842|ШтрихКод|4811582000281
Сапоги рабочие WUMAX 3218, р-р 42| 2357321842|Артикул|2357321842
Сапоги рабочие WUMAX 3218, р-р 43| 2357321843|ШтрихКод|4811582000298
Сапоги рабочие WUMAX 3218, р-р 43| 2357321843|Артикул|2357321843
Сапоги рабочие WUMAX 3218, р-р 44| 2357321844|ШтрихКод|4811582000304
Сапоги рабочие WUMAX 3218, р-р 44| 2357321844|Артикул|2357321844
Сапоги рабочие WUMAX 3218, р-р 45| 2357321845|ШтрихКод|4811582000311
Сапоги рабочие WUMAX 3218, р-р 45| 2357321845|Артикул|2357321845
Сапоги рабочие WUMAX 3218, р-р 46| 2357321846|ШтрихКод|4811582000328
Сапоги рабочие WUMAX 3218, р-р 46| 2357321846|Артикул|2357321846
Сапоги рабочие WUMAX 3218, р-р 47| 2357321847|Артикул|2357321847
Сапоги рабочие WUMAX 3218TTC, р-р 39| 2359321839|ШтрихКод|4811582000601
Сапоги рабочие WUMAX 3218TTC, р-р 39| 2359321839|Артикул|2359321839
Сапоги рабочие WUMAX 3218TTC, р-р 40| 2359321840|ШтрихКод|4811582000618
Сапоги рабочие WUMAX 3218TTC, р-р 40| 2359321840|Артикул|2359321840
Сапоги рабочие WUMAX 3218TTC, р-р 41| 2359321841|ШтрихКод|4811582000625
Сапоги рабочие WUMAX 3218TTC, р-р 41| 2359321841|Артикул|2359321841
Сапоги рабочие WUMAX 3218TTC, р-р 42| 2359321842|ШтрихКод|4811582000632
Сапоги рабочие WUMAX 3218TTC, р-р 42| 2359321842|Артикул|2359321842
Сапоги рабочие WUMAX 3218TTC, р-р 43| 2359321843|ШтрихКод|4811582000649
Сапоги рабочие WUMAX 3218TTC, р-р 43| 2359321843|Артикул|2359321843
Сапоги рабочие WUMAX 3218TTC, р-р 44| 2359321844|ШтрихКод|4811582000656
Сапоги рабочие WUMAX 3218TTC, р-р 44| 2359321844|Артикул|2359321844
Сапоги рабочие WUMAX 3218TTC, р-р 45| 2359321845|ШтрихКод|4811582000663
Сапоги рабочие WUMAX 3218TTC, р-р 45| 2359321845|Артикул|2359321845
Сапоги рабочие WUMAX 3218TTC, р-р 46| 2359321846|ШтрихКод|4811582000670
Сапоги рабочие WUMAX 3218TTC, р-р 46| 2359321846|Артикул|2359321846
Сапоги рабочие WUMAX 3218TTC, р-р 47| 2359321847|ШтрихКод|4811582000687
Сапоги рабочие WUMAX 3218TTC, р-р 47| 2359321847|Артикул|2359321847
Паста очищающая для рук (KEZTISZTITO KREMI) 450 ml| 0890305450|Артикул|0890305450
Паста очищающая для рук (LA ROSSA IN PASTA) 150 ml| 0890306150|Артикул|0890306150
Паста очищающая для рук (LINEA BLANCA NEW F) 150 ml| 0890353150|Артикул|0890353150
Паста очищающая для рук (NETTUNO LINEA PIU) 150 ml| 0890350150|Артикул|0890350150
Дозировочная система для 893 900 0| 0891901|ШтрихКод|4045989596690
Дозировочная система для 893 900 0| 0891901|Артикул|0891901
Дозировочная система для 893 900 0| 0891901|Вес продукта (на 1 шт.)|665 г
Дозировочная система для 893 900 0| 0891901|Материал|Пластик/ металл
Защитная паста для рук (жидкие перчатки) 1000 мл.| 0890600100|ШтрихКод|4053479384894
Защитная паста для рук (жидкие перчатки) 1000 мл.| 0890600100|Артикул|0890600100
Защитная паста для рук (жидкие перчатки) 1000 мл.| 0890600100|Запах/аромат|Без запаха
Защитная паста для рук (жидкие перчатки) 1000 мл.| 0890600100|Цвет|Белый
Моющая паста для рук Handreiniger, 4 л| 08939000|ШтрихКод|4053479383811
Моющая паста для рук Handreiniger, 4 л| 08939000|Артикул|08939000
Моющая паста для рук Handreiniger, 4 л| 08939000|Устойчивость при хранении, с момента изготовления/условия|24 месяц / при температуре от 5 до 25°C
Моющая паста для рук Handreiniger, 4 л| 08939000|Вес продукта (на 1 шт.)|3800 гр
Моющая паста для рук Handreiniger, 4 л| 08939000|Содержание|4000 мл
Моющая паста для рук Handreiniger, 4 л| 08939000|Запах/аромат|Лимон
Моющая паста для рук Handreiniger, 4 л| 08939000|Цвет|Бежевый
Моющая паста для рук Handreiniger, 4 л| 08939000|Не содержит силикона|Да
Моющая паста для рук, 1000 гр| 0893955210|Артикул|0893955210
Моющая паста для рук, 1000 гр| 0893955210|Устойчивость при хранении, с момента изготовления/условия|24 месяц / при температуре от 5 до 25°C
Моющая паста для рук, 1000 гр| 0893955210|Вес продукта (на 1 шт.)|1000 гр
Моющая паста для рук, 1000 гр| 0893955210|Запах/аромат|Без запаха
Моющая паста для рук, 1000 гр| 0893955210|Цвет|Белый
Моющая паста для рук, 1000 гр| 0893955210|Не содержит силикона|Да
Моющая паста для рук, 1000 гр| 0893955210|Не содержит мыла|Да
Моющая паста для рук, 10 кг, профессиональная| 0893800003|ШтрихКод|2182612742016
Моющая паста для рук, 10 кг, профессиональная| 0893800003|Артикул|0893800003
Моющая паста для рук, 450 мл, профессиональная| 0893955209|ШтрихКод|4062856005055
Моющая паста для рук, 450 мл, профессиональная| 0893955209|Артикул|0893955209
Моющая паста для рук 4000ML| 0893900001|ШтрихКод|4062856200818
Моющая паста для рук 4000ML| 0893900001|Артикул|0893900001
Очки защитные Standard, белые| 0899103120|ШтрихКод|4061975528971
Очки защитные Standard, белые| 0899103120|Артикул|0899103120
Очки защитные Standard, белые| 0899103120|Цвет безопасных линз|Прозрачный
Очки защитные Standard, белые| 0899103120|Материал безопасных линз|Поликарбонат
Очки защитные Standard, белые| 0899103120|Защита от ультрафиолетового излучения|400 нм
Очки защитные Standard, белые| 0899103120|Стандарт EN|166 / 170
Очки защитные Standard, белые| 0899103120|Механическая прочность|F (45 м/с)
Очки защитные Standard, желтые| 0899103122|ШтрихКод|4061975529008
Очки защитные Standard, желтые| 0899103122|Артикул|0899103122
Очки защитные Standard, желтые| 0899103122|Цвет безопасных линз|Желтый
Очки защитные Standard, желтые| 0899103122|Материал безопасных линз|Поликарбонат
Очки защитные Standard, желтые| 0899103122|Защита от ультрафиолетового излучения|400 нм
Очки защитные Standard, желтые| 0899103122|Стандарт EN|166 / 170
Очки защитные Standard, желтые| 0899103122|Механическая прочность|F (45 м/с)
Очки защитные Standard, серые| 0899103121|Артикул|0899103121
Очки защитные Standard, серые| 0899103121|Цвет безопасных линз|Серый
Очки защитные Standard, серые| 0899103121|Материал безопасных линз|Поликарбонат
Очки защитные Standard, серые| 0899103121|Защита от ультрафиолетового излучения|400 нм
Очки защитные Standard, серые| 0899103121|Стандарт EN|166 / 170
Очки защитные Standard, серые| 0899103121|Механическая прочность|F (45 м/с)
Очки защитные Standard, серые| 0899103121|Австралийский стандарт|AS/NZS 1337
Защитные очки CEPHEUS (бесцветные стекла)| 0899102250|ШтрихКод|4060053056467
Защитные очки CEPHEUS (бесцветные стекла)| 0899102250|Артикул|0899102250
Защитные очки CEPHEUS (бесцветные стекла)| 0899102250|Цвет безопасных линз|Прозрачный
Защитные очки CEPHEUS (бесцветные стекла)| 0899102250|Материал безопасных линз|Поликарбонат
Защитные очки CEPHEUS (бесцветные стекла)| 0899102250|Защита от ультрафиолетового излучения|400 нм
Защитные очки CEPHEUS (бесцветные стекла)| 0899102250|Стандарт EN|166 / 170
Защитные очки CEPHEUS (бесцветные стекла)| 0899102250|Механическая прочность|F (45 м/с)
Защитные очки CEPHEUS (желтые стекла)| 0899102251|ШтрихКод|4060053056474
Защитные очки CEPHEUS (желтые стекла)| 0899102251|Артикул|0899102251
Защитные очки CEPHEUS (желтые стекла)| 0899102251|Цвет безопасных линз|Желтый
Защитные очки CEPHEUS (желтые стекла)| 0899102251|Материал безопасных линз|Поликарбонат
Защитные очки CEPHEUS (желтые стекла)| 0899102251|Защита от ультрафиолетового излучения|400 нм
Защитные очки CEPHEUS (желтые стекла)| 0899102251|Стандарт EN|166 / 170
Защитные очки CEPHEUS (желтые стекла)| 0899102251|Механическая прочность|F (45 м/с)
Защитные очки Andromeda, закрытые| 0899102110|ШтрихКод|4060053056344
Защитные очки Andromeda, закрытые| 0899102110|Артикул|0899102110
Защитные очки Andromeda, закрытые| 0899102110|Цвет безопасных линз|Прозрачный
Защитные очки Andromeda, закрытые| 0899102110|Материал безопасных линз|Поликарбонат
Защитные очки Andromeda, закрытые| 0899102110|Защита от ультрафиолетового излучения|400 нм
Защитные очки Andromeda, закрытые| 0899102110|Стандарт EN|166 / 170
Защитные очки с подсветкой| 0899103150|Артикул|0899103150
Защитные очки с подсветкой| 0899103150|Цвет безопасных линз|Прозрачный
Защитные очки с подсветкой| 0899103150|Материал безопасных линз|Поликарбонат
Защитные очки с подсветкой| 0899103150|Защита от ультрафиолетового излучения|385 нм
Защитные очки с подсветкой| 0899103150|Стандарт EN|166
Защитные очки с подсветкой| 0899103150|Механическая прочность|F (45 м/с)
Защитные очки CASTOR, закрытые| 0899107016|ШтрихКод|4058794097573
Защитные очки CASTOR, закрытые| 0899107016|Артикул|0899107016
Перчатки защитные Black Mechanic, р-р 10| 0899405030|Артикул|0899405030
Перчатки защитные Black Mechanic, р-р 10| 0899405030|Размер|10
Перчатки защитные Black Mechanic, р-р 10| 0899405030|Стандарт EN|388 / 420
Перчатки защитные Black Mechanic, р-р 10| 0899405030|Класс защиты|2.1.3.1
Перчатки защитные Black Mechanic, р-р 10| 0899405030|Цвет|Черный
Перчатки защитные Black Mechanic, р-р 10| 0899405030|Материал облицовки|Трикотажная вязка
Перчатки защитные Black Mechanic, р-р 10| 0899405030|Покрытие материала|Латекс
Перчатки защитные Black Mechanic, р-р 8| 0899405028|Артикул|0899405028
Перчатки защитные Black Mechanic, р-р 8| 0899405028|Размер|8
Перчатки защитные Black Mechanic, р-р 8| 0899405028|Стандарт EN|388 / 420
Перчатки защитные Black Mechanic, р-р 8| 0899405028|Класс защиты|2.1.3.1
Перчатки защитные Black Mechanic, р-р 8| 0899405028|Цвет|Черный
Перчатки защитные Black Mechanic, р-р 8| 0899405028|Материал облицовки|Трикотажная вязка
Перчатки защитные Black Mechanic, р-р 8| 0899405028|Покрытие материала|Латекс
Перчатки защитные Black Mechanic, р-р 9| 0899405029|Артикул|0899405029
Перчатки защитные Black Mechanic, р-р 9| 0899405029|Размер|9
Перчатки защитные Black Mechanic, р-р 9| 0899405029|Стандарт EN|388 / 420
Перчатки защитные Black Mechanic, р-р 9| 0899405029|Класс защиты|2.1.3.1
Перчатки защитные Black Mechanic, р-р 9| 0899405029|Цвет|Черный
Перчатки защитные Black Mechanic, р-р 9| 0899405029|Материал облицовки|Трикотажная вязка
Перчатки защитные Black Mechanic, р-р 9| 0899405029|Покрытие материала|Латекс
Перчатки защитные Tiger Flex, р-р 9| 0899411019|ШтрихКод|4053479692425
Перчатки защитные Tiger Flex, р-р 9| 0899411019|Артикул|0899411019
Перчатки защитные Tiger Flex, р-р 9| 0899411019|Размер|9
Перчатки защитные Tiger Flex, р-р 9| 0899411019|Стандарт EN|388 / 420
Перчатки защитные Tiger Flex, р-р 9| 0899411019|Класс защиты|4.1.2.1
Перчатки защитные Tiger Flex, р-р 9| 0899411019|Цвет|Серый
Перчатки защитные Tiger Flex, р-р 9| 0899411019|Класс вязки|15
Перчатки защитные Tiger Flex, р-р 9| 0899411019|Материал облицовки|Нейлон
Защитные перчатки "Comfort" размер 9| 0899400609|ШтрихКод|4060053057457
Защитные перчатки "Comfort" размер 9| 0899400609|Артикул|0899400609
Защитные перчатки "Comfort" размер 9| 0899400609|Размер|9
Защитные перчатки "Comfort" размер 9| 0899400609|Стандарт EN|388 / 420
Защитные перчатки "Comfort" размер 9| 0899400609|Класс защиты|4.1.3.1
Защитные перчатки "Comfort" размер 9| 0899400609|Цвет|Белый
Защитные перчатки "Comfort" размер 9| 0899400609|Класс вязки|15
Защитные перчатки "Comfort" размер 9| 0899400609|Материал облицовки|Полиамид
Защитные перчатки "механик", размер 8| 0899400529|ШтрихКод|4060053057396
Защитные перчатки "механик", размер 8| 0899400529|Артикул|0899400529
Защитные перчатки "механик", размер 8| 0899400529|Размер|8
Защитные перчатки "механик", размер 8| 0899400529|Стандарт EN|388 / 420
Защитные перчатки "механик", размер 8| 0899400529|Класс защиты|3.1.3.1
Защитные перчатки "механик", размер 8| 0899400529|Цвет|Коричневый
Защитные перчатки "механик", размер 8| 0899400529|Класс вязки|15
Защитные перчатки "механик", размер 8| 0899400529|Материал облицовки|Полиамид
Защитные перчатки "механик", размер 9| 0899400530|ШтрихКод|4060053057402
Защитные перчатки "механик", размер 9| 0899400530|Артикул|0899400530
Защитные перчатки "механик", размер 9| 0899400530|Размер|9
Защитные перчатки "механик", размер 9| 0899400530|Стандарт EN|388 / 420
Защитные перчатки "механик", размер 9| 0899400530|Класс защиты|3.1.3.1
Защитные перчатки "механик", размер 9| 0899400530|Цвет|Коричневый
Защитные перчатки "механик", размер 9| 0899400530|Класс вязки|15
Защитные перчатки "механик", размер 9| 0899400530|Материал облицовки|Полиамид
Защитные перчатки нитриловые разм. 10| 089943510|ШтрихКод|4060053058447
Защитные перчатки нитриловые разм. 10| 089943510|Артикул|089943510
Защитные перчатки нитриловые разм. 10| 089943510|Размер|10
Защитные перчатки нитриловые разм. 10| 089943510|Стандарт EN|374 / 388 / 420
Защитные перчатки нитриловые разм. 10| 089943510|Класс защиты|4.0.0.2
Защитные перчатки нитриловые разм. 10| 089943510|Цвет|Зеленый
Защитные перчатки нитриловые разм. 10| 089943510|Материал облицовки|Нитрил
Защитные перчатки нитриловые разм. 10| 089943510|Длина|330 мм
Защитные перчатки с кожаными вставками"protect" р-р 10| 0899400134|ШтрихКод|4060053057297
Защитные перчатки с кожаными вставками"protect" р-р 10| 0899400134|Артикул|0899400134
Защитные перчатки с кожаными вставками"protect" р-р 10| 0899400134|Размер|10
Защитные перчатки с кожаными вставками"protect" р-р 10| 0899400134|Стандарт EN|388 / 420
Защитные перчатки с кожаными вставками"protect" р-р 10| 0899400134|Класс защиты|2.1.1.2
Защитные перчатки с кожаными вставками"protect" р-р 10| 0899400134|Цвет|Красный /Белый
Защитные перчатки с кожаными вставками"protect" р-р 10| 0899400134|Материал облицовки|Свиная замша
Защитные перчатки с кожаными вставками"protect" р-р 8| 0899400132|ШтрихКод|4060053057259
Защитные перчатки с кожаными вставками"protect" р-р 8| 0899400132|Артикул|0899400132
Защитные перчатки с кожаными вставками"protect" р-р 8| 0899400132|Размер|8
Защитные перчатки с кожаными вставками"protect" р-р 8| 0899400132|Стандарт EN|388 / 420
Защитные перчатки с кожаными вставками"protect" р-р 8| 0899400132|Класс защиты|2.1.1.2
Защитные перчатки с кожаными вставками"protect" р-р 8| 0899400132|Цвет|Красный /Белый
Защитные перчатки с кожаными вставками"protect" р-р 8| 0899400132|Материал облицовки|Свиная замша
Защитные перчатки с кожаными вставками"protect" р-р 9| 0899400133|ШтрихКод|4060053057280
Защитные перчатки с кожаными вставками"protect" р-р 9| 0899400133|Артикул|0899400133
Защитные перчатки с кожаными вставками"protect" р-р 9| 0899400133|Размер|9
Защитные перчатки с кожаными вставками"protect" р-р 9| 0899400133|Стандарт EN|388 / 420
Защитные перчатки с кожаными вставками"protect" р-р 9| 0899400133|Класс защиты|2.1.1.2
Защитные перчатки с кожаными вставками"protect" р-р 9| 0899400133|Цвет|Красный /Белый
Защитные перчатки с кожаными вставками"protect" р-р 9| 0899400133|Материал облицовки|Свиная замша
Перчатки защитные Well nit, р-р 9| 089944409|ШтрихКод|4056807469614
Перчатки защитные Well nit, р-р 9| 089944409|Артикул|089944409
Перчатки защитные Well nit, р-р 9| 089944409|Размер|9
Перчатки защитные Well nit, р-р 9| 089944409|Стандарт EN|388 / 420
Перчатки защитные Well nit, р-р 9| 089944409|Цвет|Серый
Перчатки защитные трикотажные Flex comfort Cool, утепленные, р-р 10| 0899401080|ШтрихКод|4056807469850
